,indicator,year,sex,race_ethnicity,value,place,95pc_con_lvl-low,95pc_con_lvl-high
19546,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,11.0,"Portland (Multnomah County), OR",7.9,14.8
19560,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,17.0,"Columbus, OH",12.8,22.1
19561,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,18.4,"Las Vegas (Clark County), NV",15.6,21.2
19566,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,13.0,"Portland (Multnomah County), OR",9.0,18.2
19582,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,24.0,"Las Vegas (Clark County), NV",20.5,27.5
19584,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,27.7,"Columbus, OH",21.0,35.8
19592,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,11.4,"Indianapolis (Marion County), IN",9.2,14.0
19607,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,20.2,"Columbus, OH",16.2,24.1
19608,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,22.0,"Las Vegas (Clark County), NV",19.7,24.3
19611,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,32.2,"Oakland (Alameda County), CA",23.9,42.4
19621,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Asian/PI,14.8,"Oakland (Alameda County), CA",8.3,24.4
19624,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Asian/PI,20.7,"Las Vegas (Clark County), NV",11.9,29.6
19635,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,11.9,"Oakland (Alameda County), CA",6.5,19.9
19644,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,33.8,"Las Vegas (Clark County), NV",24.1,43.4
19659,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Hispanic,17.6,"Las Vegas (Clark County), NV",11.6,23.6
19671,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Other,8.9,"Las Vegas (Clark County), NV",0.0,21.2
19678,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,7.8,"Portland (Multnomah County), OR",5.7,10.5
19684,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,11.6,"Indianapolis (Marion County), IN",9.1,14.7
19685,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,12.0,"Oakland (Alameda County), CA",6.8,19.4
19698,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,21.9,"Columbus, OH",17.4,27.2
19699,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,22.1,"Las Vegas (Clark County), NV",19.4,24.8
19703,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,5.9,"Portland (Multnomah County), OR",3.9,8.7
19708,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,8.7,"Oakland (Alameda County), CA",5.5,13.1
19713,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,11.3,"Indianapolis (Marion County), IN",8.5,14.8
19722,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,16.9,"Columbus, OH",12.6,22.1
19723,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,20.2,"Las Vegas (Clark County), NV",17.3,23.2
19726,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,9.8,"Portland (Multnomah County), OR",6.3,14.6
19738,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,17.4,"Oakland (Alameda County), CA",11.5,25.4
19744,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,24.8,"Las Vegas (Clark County), NV",21.1,28.4
19745,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,25.5,"Columbus, OH",18.9,33.7
19751,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,9.9,"San Diego County, CA",8.9,11.0
19752,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,10.9,"Portland (Multnomah County), OR",8.6,13.7
19753,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,11.2,"Indianapolis (Marion County), IN",9.1,13.7
19756,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,12.8,"San Francisco, CA",11.6,14.2
19757,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,13.0,"Fort Worth (Tarrant County), TX",11.2,14.9
19758,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,15.1,"Oakland (Alameda County), CA",11.6,19.4
19761,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,16.5,"Philadelphia, PA",14.5,18.5
19765,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,20.7,"Las Vegas (Clark County), NV",18.5,22.8
19767,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,22.5,"Columbus, OH",18.4,26.7
19774,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,6.5,"San Diego County, CA",4.1,9.9
19777,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,13.8,"San Francisco, CA",11.8,16.1
19779,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,16.2,"Oakland (Alameda County), CA",9.1,26.8
19780,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,19.5,"Las Vegas (Clark County), NV",11.7,27.3
19789,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,13.9,"Fort Worth (Tarrant County), TX",8.6,21.2
19792,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,14.9,"San Francisco, CA",9.8,22.2
19794,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,16.3,"Philadelphia, PA",13.2,19.5
19797,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,19.1,"Oakland (Alameda County), CA",12.1,28.6
19801,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,22.6,"Columbus, OH",14.9,32.9
19803,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,26.3,"Las Vegas (Clark County), NV",17.7,34.9
19809,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,9.6,"San Diego County, CA",7.1,12.7
19812,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,11.4,"San Francisco, CA",7.8,16.2
19814,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,14.0,"Philadelphia, PA",6.1,22.0
19816,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,17.3,"Las Vegas (Clark County), NV",11.3,23.3
19826,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Other,8.8,"Las Vegas (Clark County), NV",0.0,18.8
19837,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,10.6,"San Diego County, CA",9.3,12.0
19838,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,11.1,"San Francisco, CA",9.4,13.1
19839,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,11.6,"Portland (Multnomah County), OR",9.0,14.6
19840,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,13.2,"Oakland (Alameda County), CA",8.0,20.7
19841,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,13.6,"Fort Worth (Tarrant County), TX",11.4,15.8
19843,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,15.8,"Philadelphia, PA",13.2,18.4
19849,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,21.3,"Las Vegas (Clark County), NV",18.6,23.9
19851,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,23.0,"Columbus, OH",18.4,28.5
19858,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,8.0,"San Diego County, CA",6.7,9.3
19861,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,10.0,"San Francisco, CA",8.5,11.6
19862,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,11.1,"Portland (Multnomah County), OR",8.1,14.9
19863,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,11.3,"Indianapolis (Marion County), IN",8.5,14.7
19864,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,12.1,"Fort Worth (Tarrant County), TX",9.8,14.4
19865,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,12.3,"Philadelphia, PA",10.1,14.5
19868,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,13.8,"Oakland (Alameda County), CA",9.5,19.4
19871,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,15.0,"Columbus, OH",11.0,20.0
19873,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,15.1,"Las Vegas (Clark County), NV",12.5,17.6
19880,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,11.5,"Portland (Multnomah County), OR",7.8,16.3
19882,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,12.7,"San Diego County, CA",10.8,14.6
19883,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,14.6,"Fort Worth (Tarrant County), TX",11.6,18.1
19884,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,17.3,"San Francisco, CA",15.0,19.9
19886,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,17.5,"Oakland (Alameda County), CA",11.6,25.3
19893,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,22.9,"Philadelphia, PA",19.1,26.7
19895,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,27.8,"Las Vegas (Clark County), NV",24.1,31.6
19899,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,37.2,"Columbus, OH",28.9,47.1
19903,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,8.7,"San Diego County, CA",7.7,9.7
19904,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,9.0,"Portland (Multnomah County), OR",6.9,11.5
19906,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,10.3,"Fort Worth (Tarrant County), TX",8.7,11.9
19907,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,12.5,"Indianapolis (Marion County), IN",10.2,15.1
19910,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,14.4,"Philadelphia, PA",12.6,16.2
19913,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,17.3,"Oakland (Alameda County), CA",13.5,21.9
19914,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,22.7,"Columbus, OH",18.6,26.9
19918,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,30.2,"Las Vegas (Clark County), NV",27.6,32.9
19919,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,42.5,"San Antonio, TX",39.4,45.6
19924,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Asian/PI,6.1,"Seattle, WA",2.2,15.8
19926,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Asian/PI,9.7,"San Diego County, CA",6.8,13.4
19929,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Asian/PI,15.2,"Oakland (Alameda County), CA",8.9,24.3
19932,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Asian/PI,23.0,"Las Vegas (Clark County), NV",14.7,31.2
19939,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Black,12.8,"Philadelphia, PA",10.1,15.5
19942,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Black,18.7,"Oakland (Alameda County), CA",11.7,28.3
19943,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Black,20.9,"Columbus, OH",14.0,30.0
19949,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Black,47.3,"Las Vegas (Clark County), NV",35.7,58.9
19950,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Black,54.6,"San Antonio, TX",41.7,70.1
19960,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Hispanic,8.9,"San Diego County, CA",6.6,11.8
19961,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Hispanic,9.0,"Fort Worth (Tarrant County), TX",5.1,14.9
19964,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Hispanic,19.5,"Philadelphia, PA",10.2,28.7
19967,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Hispanic,30.9,"Las Vegas (Clark County), NV",22.8,38.9
19968,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Hispanic,44.7,"San Antonio, TX",39.9,49.4
19977,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Other,6.3,"Las Vegas (Clark County), NV",0.0,13.4
19984,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,White,7.0,"Seattle, WA",4.9,10.4
19987,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,White,8.6,"San Diego County, CA",7.4,9.8
19988,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,White,9.0,"Portland (Multnomah County), OR",6.8,11.7
19990,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,White,10.5,"Fort Worth (Tarrant County), TX",8.6,12.3
19991,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,White,12.2,"Indianapolis (Marion County), IN",9.6,15.2
19996,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,White,18.8,"Oakland (Alameda County), CA",12.3,27.5
19997,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,White,23.7,"Columbus, OH",19.0,29.1
19999,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,White,29.6,"Las Vegas (Clark County), NV",26.5,32.8
20000,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,White,38.5,"San Antonio, TX",33.9,43.0
20005,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Female,All,6.9,"Portland (Multnomah County), OR",4.6,9.9
20007,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Female,All,7.7,"Fort Worth (Tarrant County), TX",6.0,9.7
20008,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Female,All,7.7,"San Diego County, CA",6.5,9.0
20010,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Female,All,10.9,"Philadelphia, PA",8.9,12.9
20013,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Female,All,13.4,"Oakland (Alameda County), CA",9.3,18.6
20017,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Female,All,19.9,"Columbus, OH",15.3,25.4
20018,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Female,All,22.8,"Las Vegas (Clark County), NV",19.6,25.9
20020,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Female,All,32.6,"San Antonio, TX",29.0,36.2
20024,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Male,All,10.1,"San Diego County, CA",8.4,11.7
20025,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Male,All,12.7,"Portland (Multnomah County), OR",8.9,17.5
20026,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Male,All,13.7,"Fort Worth (Tarrant County), TX",11.0,17.0
20030,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Male,All,17.9,"Indianapolis (Marion County), IN",13.7,23.2
20033,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Male,All,19.9,"Philadelphia, PA",16.4,23.4
20034,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Male,All,22.3,"Oakland (Alameda County), CA",15.6,30.9
20035,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Male,All,27.6,"Columbus, OH",20.8,35.8
20039,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Male,All,39.7,"Las Vegas (Clark County), NV",35.2,44.3
20040,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Male,All,55.8,"San Antonio, TX",50.2,61.4
20041,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,All,9.5,"San Diego County, CA",8.5,10.5
20042,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,All,9.7,"Indianapolis (Marion County), IN",7.7,12.0
20043,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,All,12.1,"Fort Worth (Tarrant County), TX",10.3,13.8
20044,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,All,12.1,"Portland (Multnomah County), OR",10.1,15.4
20047,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,All,13.7,"Oakland (Alameda County), CA",10.4,17.7
20049,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,All,14.4,"Philadelphia, PA",12.6,16.3
20054,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,All,24.1,"Columbus, OH",19.8,28.4
20055,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,All,27.3,"Las Vegas (Clark County), NV",24.8,29.9
20056,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,All,42.8,"San Antonio, TX",39.6,45.9
20061,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,Asian/PI,8.7,"San Diego County, CA",6.0,12.0
20062,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,Asian/PI,10.1,"Seattle, WA",5.0,20.3
20063,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,Asian/PI,12.9,"Oakland (Alameda County), CA",7.1,21.6
20067,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,Asian/PI,27.2,"Las Vegas (Clark County), NV",17.8,36.7
20074,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,Black,11.1,"Seattle, WA",3.5,27.2
20075,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,Black,12.0,"Philadelphia, PA",9.4,14.6
20079,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,Black,17.0,"Fort Worth (Tarrant County), TX",10.9,25.3
20080,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,Black,19.1,"Oakland (Alameda County), CA",12.2,28.4
20084,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,Black,25.8,"Columbus, OH",17.8,36.3
20085,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,Black,32.6,"Las Vegas (Clark County), NV",23.0,42.3
20086,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,Black,51.2,"San Antonio, TX",38.6,66.7
20091,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,Hispanic,9.5,"San Diego County, CA",7.1,12.4
20092,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,Hispanic,9.9,"Fort Worth (Tarrant County), TX",5.6,16.0
20096,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,Hispanic,17.7,"Philadelphia, PA",9.3,26.2
20097,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,Hispanic,17.9,"Las Vegas (Clark County), NV",11.8,24.0
20099,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,Hispanic,41.3,"San Antonio, TX",36.8,45.8
20106,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,Other,6.8,"Las Vegas (Clark County), NV",0.0,16.3
20113,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,White,6.9,"Seattle, WA",4.9,10.2
20114,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,White,9.4,"Indianapolis (Marion County), IN",7.2,12.3
20115,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,White,9.4,"San Diego County, CA",8.2,10.7
20116,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,White,9.7,"Oakland (Alameda County), CA",5.4,15.9
20117,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,White,11.6,"Fort Worth (Tarrant County), TX",9.6,13.6
20118,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,White,12.1,"Portland (Multnomah County), OR",9.6,15.1
20120,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,White,14.2,"Philadelphia, PA",11.8,16.7
20125,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,White,24.8,"Columbus, OH",20.0,30.5
20126,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,White,25.5,"Las Vegas (Clark County), NV",22.6,28.4
20127,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Both,White,43.6,"San Antonio, TX",38.8,48.4
20129,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,All,8.3,"San Diego County, CA",7.0,9.5
20131,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,All,9.9,"Fort Worth (Tarrant County), TX",8.0,12.1
20133,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,All,11.8,"Portland (Multnomah County), OR",8.8,15.5
20134,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,All,12.3,"Oakland (Alameda County), CA",8.5,17.3
20135,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,All,12.9,"Philadelphia, PA",10.7,15.1
20140,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,All,17.1,"Columbus, OH",12.9,22.3
20142,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,All,20.6,"Las Vegas (Clark County), NV",17.7,23.6
20143,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Female,All,29.3,"San Antonio, TX",25.9,32.7
20146,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Male,All,11.2,"San Diego County, CA",9.5,12.9
20147,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Male,All,13.8,"Portland (Multnomah County), OR",9.7,19.0
20148,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Male,All,15.1,"Oakland (Alameda County), CA",9.9,22.1
20149,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Male,All,15.5,"Fort Worth (Tarrant County), TX",12.5,19.1
20150,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Male,All,16.7,"Philadelphia, PA",13.5,19.9
20157,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Male,All,34.8,"Columbus, OH",27.1,44.0
20158,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Male,All,36.0,"Las Vegas (Clark County), NV",31.7,40.4
20159,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2015,Male,All,61.5,"San Antonio, TX",55.7,67.4
20161,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Both,All,9.8,"San Diego County, CA",8.8,10.9
20162,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2016,Both,All,10.1,"Portland (Multnomah County), OR",8.0,12.6
